index,lexeme,cell,phon_form,alignment,stem,exponents,method
1356,ache,13,h e a d a c h e,4 5 6 9 10 11 12 14,- a c h -,h e a d - e,"User features, features similarity, Progressive alignment"
1357,ache,14,h e a d a c h e s,4 5 6 9 10 11 12 14 15,- a c h -,h e a d - e s,"User features, features similarity, Progressive alignment"
1358,ache,15,h e a d a c h i e r,4 5 6 9 10 11 12 13 14 16,- a c h -,h e a d - i e r,"User features, features similarity, Progressive alignment"
1359,ache,16,h e a d a c h i e s t,4 5 6 9 10 11 12 13 14 15 16,- a c h -,h e a d - i e s t,"User features, features similarity, Progressive alignment"
1360,ache,17,h e a d a c h y,4 5 6 9 10 11 12 13,- a c h -,h e a d - y,"User features, features similarity, Progressive alignment"
1361,ache,18,h e a r t a c h e,4 5 6 7 8 10 11 12 14,- a c h -,h e a r t - e,"User features, features similarity, Progressive alignment"
1362,ache,19,h e a r t a c h e s,4 5 6 7 8 10 11 12 14 15,- a c h -,h e a r t - e s,"User features, features similarity, Progressive alignment"
1363,ache,20,s i c k - h e a d a c h e,0 1 2 3 4 5 6 9 10 11 12 14,- a c h -,s i c k h e a d - e,"User features, features similarity, Progressive alignment"
1364,ache,21,s i c k - h e a d a c h e s,0 1 2 3 4 5 6 9 10 11 12 14 15,- a c h -,s i c k h e a d - e s,"User features, features similarity, Progressive alignment"
1365,ache,22,s t o m a c h a c h e,0 1 2 3 6 7 8 10 11 12 14,- a c h -,s t o m a c h - e,"User features, features similarity, Progressive alignment"
1366,ache,23,s t o m a c h a c h e s,0 1 2 3 6 7 8 10 11 12 14 15,- a c h -,s t o m a c h - e s,"User features, features similarity, Progressive alignment"
1367,ache,24,t o o t h a c h e,0 1 2 3 4 10 11 12 14,- a c h -,t o o t h - e,"User features, features similarity, Progressive alignment"
1368,ache,25,t o o t h a c h e s,0 1 2 3 4 10 11 12 14 15,- a c h -,t o o t h - e s,"User features, features similarity, Progressive alignment"
1369,achieve,0,a c h i e v a b l e,0 1 2 3 4 5 6 7 8 9,a c h i e v -,- a b l e,"User features, features similarity, Progressive alignment"
1370,achieve,1,a c h i e v e,0 1 2 3 4 5 9,a c h i e v -,- e,"User features, features similarity, Progressive alignment"
1371,achieve,2,a c h i e v e d,0 1 2 3 4 5 9 12,a c h i e v -,- e d,"User features, features similarity, Progressive alignment"
1372,achieve,3,a c h i e v e m e n t,0 1 2 3 4 5 6 7 9 10 11,a c h i e v -,- e m e n t,"User features, features similarity, Progressive alignment"
1373,achieve,4,a c h i e v e m e n t s,0 1 2 3 4 5 6 7 9 10 11 12,a c h i e v -,- e m e n t s,"User features, features similarity, Progressive alignment"
1374,achieve,5,a c h i e v e s,0 1 2 3 4 5 9 12,a c h i e v -,- e s,"User features, features similarity, Progressive alignment"
1375,achieve,6,a c h i e v i n g,0 1 2 3 4 5 8 10 11,a c h i e v -,- i n g,"User features, features similarity, Progressive alignment"
1376,acid,0,a c i d,0 1 2 3,a c i d -,-,"User features, features similarity, Progressive alignment"
1377,acid,1,a c i d i c,0 1 2 3 4 5,a c i d -,- i c,"User features, features similarity, Progressive alignment"
1378,acid,2,a c i d i f i e d,0 1 2 3 4 6 8 9 10,a c i d -,- i f i e d,"User features, features similarity, Progressive alignment"
1379,acid,3,a c i d i f i e s,0 1 2 3 4 6 8 9 10,a c i d -,- i f i e s,"User features, features similarity, Progressive alignment"
1380,acid,4,a c i d i f y,0 1 2 3 4 6 8,a c i d -,- i f y,"User features, features similarity, Progressive alignment"
1381,acid,5,a c i d i f y i n g,0 1 2 3 4 6 7 8 9 10,a c i d -,- i f y i n g,"User features, features similarity, Progressive alignment"
1382,acid,6,a c i d i t y,0 1 2 3 4 7 8,a c i d -,- i t y,"User features, features similarity, Progressive alignment"
1383,acid,7,a c i d s,0 1 2 3 10,a c i d -,- s,"User features, features similarity, Progressive alignment"
1384,acid,8,a c i d u l a t e,0 1 2 3 4 5 6 7 9,a c i d -,- u l a t e,"User features, features similarity, Progressive alignment"
1385,acid,9,a c i d u l a t e d,0 1 2 3 4 5 6 7 9 10,a c i d -,- u l a t e d,"User features, features similarity, Progressive alignment"
1386,acid,10,a c i d u l a t e s,0 1 2 3 4 5 6 7 9 10,a c i d -,- u l a t e s,"User features, features similarity, Progressive alignment"
1387,acid,11,a c i d u l a t i n g,0 1 2 3 4 5 6 7 8 9 10,a c i d -,- u l a t i n g,"User features, features similarity, Progressive alignment"
1388,acid,12,a c i d u l o u s,0 1 2 3 4 5 7 8 10,a c i d -,- u l o u s,"User features, features similarity, Progressive alignment"
1389,acidulated,0,a c i d u l a t e d,0 1 2 3 4 5 6 7 8 9,a c i d u l a t e d,-,"User features, features similarity, Progressive alignment"
1390,ack-ack,0,a c k - a c k,0 1 2 3 4 5,a c k a c k -,-,"User features, features similarity, Progressive alignment"
1391,ack-ack,1,a c k - a c k s,0 1 2 3 4 5 6,a c k a c k -,- s,"User features, features similarity, Progressive alignment"
1392,acme,0,a c m e,0 1 2 3,a c m e,-,"User features, features similarity, Progressive alignment"
1393,acne,0,a c n e,0 1 2 3,a c n e,-,"User features, features similarity, Progressive alignment"
1394,acorn,0,a c o r n,0 1 2 3 4,a c o r n -,-,"User features, features similarity, Progressive alignment"
1395,acorn,1,a c o r n - c u p,0 1 2 3 4 5 6 7,a c o r n -,- c u p,"User features, features similarity, Progressive alignment"
1396,acorn,2,a c o r n - c u p s,0 1 2 3 4 5 6 7 8,a c o r n -,- c u p s,"User features, features similarity, Progressive alignment"
1397,acorn,3,a c o r n s,0 1 2 3 4 8,a c o r n -,- s,"User features, features similarity, Progressive alignment"
1398,acoustic,0,a c o u s t i c,0 1 2 3 4 5 6 7,a c o u s t i c -,-,"User features, features similarity, Progressive alignment"
1399,acoustic,1,a c o u s t i c a l l y,0 1 2 3 4 5 6 7 8 9 10 11,a c o u s t i c -,- a l l y,"User features, features similarity, Progressive alignment"
1400,acoustic,2,a c o u s t i c s,0 1 2 3 4 5 6 7 9,a c o u s t i c -,- s,"User features, features similarity, Progressive alignment"
1401,acre,0,a c r e,4 5 6 7,- a c r e -,-,"User features, features similarity, Progressive alignment"
1402,acre,1,a c r e a g e,4 5 6 7 8 9 10,- a c r e -,- a g e,"User features, features similarity, Progressive alignment"
1403,acre,2,a c r e s,4 5 6 7 9,- a c r e -,- s,"User features, features similarity, Progressive alignment"
1404,acre,3,w i s e a c r e,0 1 2 3 4 5 6 7,- a c r e -,w i s e -,"User features, features similarity, Progressive alignment"
1405,acre,4,w i s e a c r e s,0 1 2 3 4 5 6 7 9,- a c r e -,w i s e - s,"User features, features similarity, Progressive alignment"
1406,acropolis,0,a c r o p o l i s,0 1 2 3 4 5 6 7 10,a c r o p o l i - s,-,"User features, features similarity, Progressive alignment"
1407,acropolis,1,a c r o p o l i s e s,0 1 2 3 4 5 6 7 8 9 10,a c r o p o l i - s,- s e -,"User features, features similarity, Progressive alignment"
1408,across,0,a c r o s s,0 1 2 3 4 5,a c r o s s,-,"User features, features similarity, Progressive alignment"
1409,acrylic,0,a c r y l i c,0 1 2 3 4 5 6,a c r y l i c -,-,"User features, features similarity, Progressive alignment"
1410,acrylic,1,a c r y l i c s,0 1 2 3 4 5 6 7,a c r y l i c -,- s,"User features, features similarity, Progressive alignment"
1411,acrylic fibre,0,a c r y l i c,0 1 2 3 4 5 6,a c r y l i c -,-,"User features, features similarity, Progressive alignment"
1412,acrylic fibre,1,a c r y l i c s,0 1 2 3 4 5 6 7,a c r y l i c -,- s,"User features, features similarity, Progressive alignment"
1413,act,0,a c t,8 9 10,- a -,- c t,"User features, features similarity, Progressive alignment"
1414,act,1,a c t e d,8 9 10 19 20,- a -,- c t e d,"User features, features similarity, Progressive alignment"
1415,act,2,a c t i n g,8 9 10 11 16 18,- a -,- c t i n g,"User features, features similarity, Progressive alignment"
1416,act,3,a c t i o n,8 9 10 11 15 16,- a -,- c t i o n,"User features, features similarity, Progressive alignment"
1417,act,4,a c t i o n a b l e,8 9 10 11 12 13 14 15 18 19,- a -,- c t i o n a b l e,"User features, features similarity, Progressive alignment"
1418,act,5,a c t i o n s,8 9 10 11 15 16 21,- a -,- c t i o n s,"User features, features similarity, Progressive alignment"
1419,act,6,a c t i v a t e,8 9 10 11 12 14 17 19,- a -,- c t i v a t e,"User features, features similarity, Progressive alignment"
1420,act,7,a c t i v a t e d,8 9 10 11 12 14 17 19 20,- a -,- c t i v a t e d,"User features, features similarity, Progressive alignment"
1421,act,8,a c t i v a t e s,8 9 10 11 12 14 17 19 21,- a -,- c t i v a t e s,"User features, features similarity, Progressive alignment"
1422,act,9,a c t i v a t i n g,8 9 10 11 12 14 17 18 20 21,- a -,- c t i v a t i n g,"User features, features similarity, Progressive alignment"
1423,act,10,a c t i v a t i o n,8 9 10 11 12 14 17 18 19 20,- a -,- c t i v a t i o n,"User features, features similarity, Progressive alignment"
1424,act,11,a c t i v e,8 9 10 11 12 19,- a -,- c t i v e,"User features, features similarity, Progressive alignment"
1425,act,12,a c t i v e l y,8 9 10 11 12 19 20 21,- a -,- c t i v e l y,"User features, features similarity, Progressive alignment"
1426,act,13,a c t i v i s t,8 9 10 11 12 13 14 17,- a -,- c t i v i s t,"User features, features similarity, Progressive alignment"
1427,act,14,a c t i v i s t s,8 9 10 11 12 13 14 17 21,- a -,- c t i v i s t s,"User features, features similarity, Progressive alignment"
1428,act,15,a c t i v i t i e s,8 9 10 11 12 13 17 18 19 21,- a -,- c t i v i t i e s,"User features, features similarity, Progressive alignment"
1429,act,16,a c t i v i t y,8 9 10 11 12 13 17 18,- a -,- c t i v i t y,"User features, features similarity, Progressive alignment"
1430,act,17,a c t o r,8 9 10 15 18,- a -,- c t o r,"User features, features similarity, Progressive alignment"
1431,act,18,a c t o r s,8 9 10 15 18 21,- a -,- c t o r s,"User features, features similarity, Progressive alignment"
1432,act,19,a c t r e s s,8 9 10 18 19 20 21,- a -,- c t r e s s,"User features, features similarity, Progressive alignment"
1433,act,20,a c t r e s s e s,8 9 10 13 15 16 17 19 21,- a -,- c t r e s s e s,"User features, features similarity, Progressive alignment"
1434,act,21,a c t s,8 9 10 21,- a -,- c t s,"User features, features similarity, Progressive alignment"
1435,act,22,a c t u a l,8 9 10 13 14 20,- a -,- c t u a l,"User features, features similarity, Progressive alignment"
1436,act,23,a c t u a l i t i e s,8 9 10 13 14 15 16 17 18 19 21,- a -,- c t u a l i t i e s,"User features, features similarity, Progressive alignment"
1437,act,24,a c t u a l i t y,8 9 10 13 14 15 16 17 18,- a -,- c t u a l i t y,"User features, features similarity, Progressive alignment"
1438,act,25,a c t u a l l y,8 9 10 13 14 15 20 21,- a -,- c t u a l l y,"User features, features similarity, Progressive alignment"
1439,act,26,a c t u a t e,8 9 10 13 14 17 19,- a -,- c t u a t e,"User features, features similarity, Progressive alignment"
1440,act,27,a c t u a t e d,8 9 10 13 14 17 19 20,- a -,- c t u a t e d,"User features, features similarity, Progressive alignment"
1441,act,28,a c t u a t e s,8 9 10 13 14 17 19 21,- a -,- c t u a t e s,"User features, features similarity, Progressive alignment"
1442,act,29,a c t u a t i n g,8 9 10 13 14 17 18 20 21,- a -,- c t u a t i n g,"User features, features similarity, Progressive alignment"
1443,act,30,c o u n t e r a c t,0 1 2 3 4 6 7 8 9 10,- a -,c o u n t e r - c t,"User features, features similarity, Progressive alignment"
1444,act,31,c o u n t e r a c t e d,0 1 2 3 4 6 7 8 9 10 19 20,- a -,c o u n t e r - c t e d,"User features, features similarity, Progressive alignment"
1445,act,32,c o u n t e r a c t i n g,0 1 2 3 4 6 7 8 9 10 11 16 18,- a -,c o u n t e r - c t i n g,"User features, features similarity, Progressive alignment"
1446,act,33,c o u n t e r a c t i o n,0 1 2 3 4 6 7 8 9 10 11 15 16,- a -,c o u n t e r - c t i o n,"User features, features similarity, Progressive alignment"
1447,act,34,c o u n t e r a c t i o n s,0 1 2 3 4 6 7 8 9 10 11 15 16 21,- a -,c o u n t e r - c t i o n s,"User features, features similarity, Progressive alignment"
1448,act,35,c o u n t e r a c t s,0 1 2 3 4 6 7 8 9 10 21,- a -,c o u n t e r - c t s,"User features, features similarity, Progressive alignment"
1449,act,36,d e l a y e d - a c t i o n,0 2 3 4 5 6 7 8 9 10 11 15 16,- a -,d e l a y e d - c t i o n,"User features, features similarity, Progressive alignment"
1450,act,37,e n a c t,6 7 8 9 10,- a -,e n - c t,"User features, features similarity, Progressive alignment"
1451,act,38,e n a c t e d,6 7 8 9 10 19 20,- a -,e n - c t e d,"User features, features similarity, Progressive alignment"
1452,act,39,e n a c t i n g,6 7 8 9 10 11 16 18,- a -,e n - c t i n g,"User features, features similarity, Progressive alignment"
1453,act,40,e n a c t m e n t,6 7 8 9 10 13 15 16 17,- a -,e n - c t m e n t,"User features, features similarity, Progressive alignment"
1454,act,41,e n a c t m e n t s,6 7 8 9 10 13 15 16 17 21,- a -,e n - c t m e n t s,"User features, features similarity, Progressive alignment"
1455,act,42,e n a c t s,6 7 8 9 10 21,- a -,e n - c t s,"User features, features similarity, Progressive alignment"
1456,act,43,i n a c t i o n,0 3 8 9 10 11 15 16,- a -,i n - c t i o n,"User features, features similarity, Progressive alignment"
1457,act,44,i n a c t i v a t e,0 3 8 9 10 11 12 14 17 19,- a -,i n - c t i v a t e,"User features, features similarity, Progressive alignment"
1458,act,45,i n a c t i v a t e d,0 3 8 9 10 11 12 14 17 19 20,- a -,i n - c t i v a t e d,"User features, features similarity, Progressive alignment"
1459,act,46,i n a c t i v a t e s,0 3 8 9 10 11 12 14 17 19 21,- a -,i n - c t i v a t e s,"User features, features similarity, Progressive alignment"
1460,act,47,i n a c t i v a t i n g,0 3 8 9 10 11 12 14 17 18 20 21,- a -,i n - c t i v a t i n g,"User features, features similarity, Progressive alignment"
1461,act,48,i n a c t i v e,0 3 8 9 10 11 12 19,- a -,i n - c t i v e,"User features, features similarity, Progressive alignment"
1462,act,49,i n a c t i v e l y,0 3 8 9 10 11 12 19 20 21,- a -,i n - c t i v e l y,"User features, features similarity, Progressive alignment"
1463,act,50,i n a c t i v i t y,0 3 8 9 10 11 12 13 17 18,- a -,i n - c t i v i t y,"User features, features similarity, Progressive alignment"
1464,act,51,i n t e r a c t,0 3 4 6 7 8 9 10,- a -,i n t e r - c t,"User features, features similarity, Progressive alignment"
1465,act,52,i n t e r a c t e d,0 3 4 6 7 8 9 10 19 20,- a -,i n t e r - c t e d,"User features, features similarity, Progressive alignment"
1466,act,53,i n t e r a c t i n g,0 3 4 6 7 8 9 10 11 16 18,- a -,i n t e r - c t i n g,"User features, features similarity, Progressive alignment"
1467,act,54,i n t e r a c t i o n,0 3 4 6 7 8 9 10 11 15 16,- a -,i n t e r - c t i o n,"User features, features similarity, Progressive alignment"
1468,act,55,i n t e r a c t i o n s,0 3 4 6 7 8 9 10 11 15 16 21,- a -,i n t e r - c t i o n s,"User features, features similarity, Progressive alignment"
1469,act,56,i n t e r a c t i v e,0 3 4 6 7 8 9 10 11 12 19,- a -,i n t e r - c t i v e,"User features, features similarity, Progressive alignment"
1470,act,57,i n t e r a c t s,0 3 4 6 7 8 9 10 21,- a -,i n t e r - c t s,"User features, features similarity, Progressive alignment"
1471,act,58,o v e r - a c t i v e,1 5 6 7 8 9 10 11 12 19,- a -,o v e r - c t i v e,"User features, features similarity, Progressive alignment"
1472,act,59,o v e r a c t,1 5 6 7 8 9 10,- a -,o v e r - c t,"User features, features similarity, Progressive alignment"
1473,act,60,o v e r a c t e d,1 5 6 7 8 9 10 19 20,- a -,o v e r - c t e d,"User features, features similarity, Progressive alignment"
1474,act,61,o v e r a c t i n g,1 5 6 7 8 9 10 11 16 18,- a -,o v e r - c t i n g,"User features, features similarity, Progressive alignment"
1475,act,62,o v e r a c t s,1 5 6 7 8 9 10 21,- a -,o v e r - c t s,"User features, features similarity, Progressive alignment"
1476,act,63,p l a y - a c t,0 2 4 5 8 9 10,- a -,p l a y - c t,"User features, features similarity, Progressive alignment"
1477,act,64,p l a y - a c t e d,0 2 4 5 8 9 10 19 20,- a -,p l a y - c t e d,"User features, features similarity, Progressive alignment"
1478,act,65,p l a y - a c t i n g,0 2 4 5 8 9 10 11 16 18,- a -,p l a y - c t i n g,"User features, features similarity, Progressive alignment"
1479,act,66,p l a y - a c t o r,0 2 4 5 8 9 10 15 18,- a -,p l a y - c t o r,"User features, features similarity, Progressive alignment"
1480,act,67,p l a y - a c t o r s,0 2 4 5 8 9 10 15 18 21,- a -,p l a y - c t o r s,"User features, features similarity, Progressive alignment"
1481,act,68,p l a y - a c t s,0 2 4 5 8 9 10 21,- a -,p l a y - c t s,"User features, features similarity, Progressive alignment"
1482,act,69,r a d i o a c t i v e,1 2 4 5 7 8 9 10 11 12 19,- a -,r a d i o - c t i v e,"User features, features similarity, Progressive alignment"
1483,act,70,r a d i o a c t i v e l y,1 2 4 5 7 8 9 10 11 12 19 20 21,- a -,r a d i o - c t i v e l y,"User features, features similarity, Progressive alignment"
1484,act,71,r a d i o a c t i v i t y,1 2 4 5 7 8 9 10 11 12 13 17 18,- a -,r a d i o - c t i v i t y,"User features, features similarity, Progressive alignment"
